date_time,total_return (%),NAV,Drawdown(%)
02/02/2022,-0.931564365,3.001758528,-3.092814767
03/02/2022,-2.203133742,2.935625773,-5.227809663
04/02/2022,-0.257431545,2.928068546,-5.471783177
05/02/2022,-0.108869343,2.924880777,-5.574695426
06/02/2022,0.414487639,2.937004047,-5.183314211
07/02/2022,1.363505809,2.977050267,-3.890483192
08/02/2022,-0.543119757,2.960881319,-4.412472966
09/02/2022,0.764720446,2.983523784,-3.681495603
10/02/2022,-1.402222401,2.941688145,-5.032095248
11/02/2022,0.549577754,2.957855009,-4.51017277
12/02/2022,-0.698250954,2.937201758,-5.176931399
13/02/2022,0.109534992,2.940419022,-5.073066959
14/02/2022,-1.333064548,2.901221338,-6.33850425
15/02/2022,-1.950521055,2.844632405,-8.165391445
16/02/2022,0.784276122,2.866942178,-7.445154539
17/02/2022,0.212210057,2.873026118,-7.248743848
18/02/2022,-1.46490498,2.830939015,-8.607461618
19/02/2022,-0.748992257,2.809735501,-9.291984654
20/02/2022,0.858793114,2.833865316,-8.512990465
21/02/2022,1.732743014,2.882968919,-6.927755698
22/02/2022,-0.787528398,2.86026472,-7.660726053
23/02/2022,0.25891862,2.867670478,-7.421642479
24/02/2022,0.16354707,2.872360469,-7.270233288
25/02/2022,-2.96410054,2.787220817,-10.0188368
26/02/2022,-1.093093047,2.7567539,-11.00241464
27/02/2022,1.464507914,2.797126779,-9.699037961
28/02/2022,0.985635691,2.824696259,-8.80899945
01/03/2022,-0.908301493,2.799039501,-9.637288669
02/03/2022,-0.271826462,2.791430971,-9.88291843
03/03/2022,0.296280065,2.799701424,-9.615919482
04/03/2022,1.352241862,2.837560159,-8.39370811
05/03/2022,-0.122932278,2.834071881,-8.506321811
06/03/2022,0.083221587,2.836430441,-8.43017932
07/03/2022,0.857655507,2.860757243,-7.644825711
08/03/2022,-0.762894637,2.838932679,-8.349398383
09/03/2022,0.413065826,2.85065934,-7.970821068
10/03/2022,1.115105233,2.882447191,-6.944598878
11/03/2022,-1.077995123,2.851374551,-7.947731564
12/03/2022,-0.556794839,2.835498245,-8.460273844
13/03/2022,0.133068441,2.839271398,-8.338463357
14/03/2022,-0.08320808,2.836908895,-8.414733163
15/03/2022,0.877328658,2.86179791,-7.61122937
16/03/2022,0.672657278,2.881048002,-6.989769581
17/03/2022,0.111261025,2.884253485,-6.886285445
18/03/2022,0.554150409,2.900236588,-6.370295415
19/03/2022,-0.436717477,2.887570748,-6.779192699
20/03/2022,-1.183080673,2.853408456,-7.882070053
21/03/2022,0.279965392,2.861397012,-7.62417173
22/03/2022,1.242634792,2.896953727,-6.476277548
23/03/2022,1.424608183,2.938223967,-5.143930945
24/03/2022,1.467015464,2.981328167,-3.752377744
25/03/2022,-0.997741822,2.951582209,-4.712680524
26/03/2022,0.807166663,2.975406397,-3.943553047
27/03/2022,3.585284376,3.082083177,-0.499656263
28/03/2022,-0.442039015,3.068459167,-0.939486602
29/03/2022,0.035847524,3.069559134,-0.903975861
30/03/2022,-0.668294789,3.04904543,-1.566229426
31/03/2022,-1.265668959,3.010454609,-2.812075106
01/04/2022,2.000285642,3.0706723,-0.868038999
02/04/2022,-0.554168668,3.053655596,-1.417397266
03/04/2022,1.23134565,3.091256651,-0.203504676
04/04/2022,0.732726554,3.11390711,0
05/04/2022,-0.584751624,3.095698487,-0.584751624
06/04/2022,-0.778268935,3.071605628,-1.358469618
07/04/2022,0.088391412,3.074320663,-1.271278976
08/04/2022,-0.528143684,3.058083833,-1.792708481
09/04/2022,-0.008580826,3.057821424,-1.801135478
10/04/2022,-0.711279042,3.036071781,-2.499603421
11/04/2022,0.340598188,3.046412587,-2.167518837
12/04/2022,-0.840048613,3.02082124,-2.989359238
13/04/2022,0.319436392,3.030470842,-2.679471947
14/04/2022,-0.426457465,3.017547173,-3.094502605
15/04/2022,0.314776819,3.027045712,-2.789466562
16/04/2022,-0.137695338,3.022877611,-2.923320935
17/04/2022,-1.132609312,2.988640218,-4.022820442
18/04/2022,1.412897911,3.030866653,-2.666760877
19/04/2022,0.666834792,3.051077527,-2.017708974
20/04/2022,-0.259718125,3.043153325,-2.272186743
21/04/2022,1.48746394,3.088419134,-0.818520761
22/04/2022,-0.131583425,3.084355286,-0.949027148
23/04/2022,-0.69946589,3.062781273,-1.641854916
