Pair,Trading ID,Trading Time,Timestamp(ms),Trading Type,Trading Price,Trading Amount,Trading Cost,PnL,Fee
SOL/USDT:USDT,484604008,2024-10-07 20:00:14.298,1728302414298,sell,147.2,0.01,1.472,0.0112822619478525,-0.000736
SOL/USDT:USDT,484604009,2024-10-07 20:00:14.298,1728302414298,sell,147.2,1.83,269.376,2.0646539364569993,-0.134688
SOL/USDT:USDT,484607535,2024-10-07 20:05:14.293,1728302714293,sell,146.84,1.83,268.7172,1.4058539364569993,-0.1343586
SOL/USDT:USDT,484633880,2024-10-07 21:20:14.299,1728307214299,sell,147.07,2.16,317.6712,2.1561685807361303,-0.1588356
SOL/USDT:USDT,484633881,2024-10-07 21:20:14.299,1728307214299,sell,147.07,1.54,226.4878,1.5372683399692781,-0.1132439
SOL/USDT:USDT,484742977,2024-10-07 22:35:14.333,1728311714333,buy,151.09,5.32,803.7988,0,-0.4018994
SOL/USDT:USDT,484775647,2024-10-07 22:50:14.901,1728312614901,buy,151.12,1.79,270.5048,0,-0.1352524
SOL/USDT:USDT,484875304,2024-10-08 00:20:14.296,1728318014296,sell,148.31,0.01,1.4831,-0.0137850338466041,-0.00074155
SOL/USDT:USDT,484875305,2024-10-08 00:20:14.296,1728318014296,sell,148.31,0.01,1.4831,-0.0137850338466041,-0.00074155
SOL/USDT:USDT,484875306,2024-10-08 00:20:14.296,1728318014296,sell,148.31,0.24,35.5944,-0.3308408123184989,-0.0177972
SOL/USDT:USDT,484875307,2024-10-08 00:20:14.296,1728318014296,sell,148.31,0.1,14.831,-0.1378503384660412,-0.0074155
SOL/USDT:USDT,484875308,2024-10-08 00:20:14.296,1728318014296,sell,148.31,0.08,11.8648,-0.110280270772833,-0.0059324
SOL/USDT:USDT,484875309,2024-10-08 00:20:14.296,1728318014296,sell,148.31,1.22,180.9382,-1.6817741292857028,-0.0904691
SOL/USDT:USDT,484922860,2024-10-08 02:05:14.196,1728324314196,sell,148.66,1.84,273.5344,-1.8924462277751583,-0.1367672
SOL/USDT:USDT,484987256,2024-10-08 02:55:14.004,1728327314004,sell,145.72,4.52,658.6544,-17.9376352986650627,-0.3293272
SOL/USDT:USDT,485001206,2024-10-08 03:05:14.198,1728327914198,sell,146.39,5.56,813.9284,-6.1352162954683665,-0.4069642
SOL/USDT:USDT,485118428,2024-10-08 07:00:14.170,1728342014170,sell,144.25,1.94,279.845,0,-0.1399225
SOL/USDT:USDT,485249889,2024-10-08 10:15:14.087,1728353714087,sell,144.99,1.83,265.3317,0,-0.13266585
SOL/USDT:USDT,485262802,2024-10-08 10:40:14.346,1728355214346,sell,144.48,1.91,275.9568,0,-0.1379784
